42;Issuer Identification Number (IIN);The number that identifies the major industry and the card issuer and that forms the first part of the Primary Account Number (PAN);Card;n 6;'BF0C' or '73';3;3;primitive;
4F;Application Identifier (ADF Name);The ADF Name identifies the application as described in [ISO 7816-5]. The AID is made up of the Registered Application Provider Identifier (RID) and the Proprietary Identifier Extension (PIX).;Card;binary 40-128;'61';5;16;primitive;
50;Application Label;Mnemonic associated with the AID according to ISO/IEC 7816-5;Card;ans with the special character limited to space;'61' or 'A5';1;16;primitive;
50;Application Label;Mnemonic associated with AID according to [ISO 7816-5]. Used in application selection. Application Label is optional in the File Control Information (FCI) of an Application Definition File (ADF) and optional in an ADF directory entry.;Card;ans 1-16 (special characters limited to spaces);;1;16;primitive;
50;Application Label;Mnemonic associated with the AID according to ISO/IEC 7816-5 (with the special character limited to space).;Card;ans 1-16 (special characters limited to spaces);;1;16;primitive;
52;Command to perform;;Card;H;;;;;
56;Track 1 Data;Track 1 Data contains the data objects of the track 1 according to [ISO/IEC 7813] Structure B, excluding start sentinel, end sentinel and LRC. The Track 1 Data may be present in the file read using the READ RECORD command during a mag-stripe mode transaction.;;ans;;0;76;constructed;
57;Track 2 Equivalent Data;Contains the data objects of the track 2, in accordance with [ISO/IEC 7813], excluding start sentinel, end sentinel, and LRC.;Card;binary;'70' or '77';0;19;primitive;
57;Track 2 Equivalent Data;Contains the data elements of track 2 according to ISO/IEC 7813, excluding start sentinel, end sentinel, and Longitudinal Redundancy Check (LRC), as follows:;Card;binary;'70' or '77';0;19;primitive;
;;Primary Account Number;;;;;;;
;;Field Separator (Hex 'D');;;;;;;
;;Expiration Date (YYMM);;;;;;;
;;Service Code;;;;;;;
;;Discretionary Data (defined by individual payment systems);;;;;;;
;;Pad with one Hex 'F' if needed to ensure whole bytes;;;;;;;
57;Track 2 Equivalent Data;Contains the data elements of track 2 according to ISO/IEC 7813, excluding start sentinel, end sentinel, and Longitudinal Redundancy Check (LRC), as follows:;Card;binary;'70' or '77';0;19;primitive;
;;Primary Account Number;;;;;;;
;;Field Separator (Hex 'D');;;;;;;
;;Expiration Date (YYMM);;;;;;;
;;Service Code;;;;;;;
;;Discretionary Data (defined by individual payment systems);;;;;;;
;;Pad with one Hex 'F' if needed to ensure whole bytes;;;;;;;
57;Track 2 Equivalent Data;Image of magnetic stripe Track 2. (For Kernel 4, Track 2 Equivalent Data may not be an exact image of magnetic stripe Track 2.);Card;cn;'70' or '77';0;19;primitive;
57;Track 2 Equivalent Data;Contains the data elements of track 2 according to ISO/IEC 7813, excluding start sentinel, end sentinel, and Longitudinal Redundancy Check (LRC).;Card;binary;'70' or '77';19;19;primitive;
5A;Application Primary Account Number (PAN);Valid cardholder account number;Card;cn variable up to 19;'70' or '77';0;10;primitive;
5A;Application Primary Account Number (PAN);Cardholder account number. READ RECORD For transactions where Offline Data Authentication is performed, the Application PAN is returned. For transactions where Offline Data Authentication is not performed, the Application PAN does not need to be returned.;Card;cn variable up to 19;'70' or '77';0;10;primitive;
5A;Application Primary Account Number (PAN);Card Number. The Primary Account Number must be maintained as the same value for both the Kernel 4 mag-stripe mode and the EMV mode.;Card;cn variable up to 19;'70' or '77';var. up to 10;var. up to 10;primitive;
5A;Application Primary Account Number (PAN);Valid cardholder account number;Card;cn variable up to 19;'70' or '77';var. up to 10;var. up to 10;primitive;
5D;Deleted (see 9D);;Terminal;H;;;;;
5F20;Cardholder Name;Indicates cardholder name according to ISO 7813;Card;ans 2-26;'70' or '77';2;26;primitive;
5F20;Cardholder Name;Indicates cardholder name according to ISO 7813;Card;ans 2-26;'70' or '77';2;26;primitive;
5F20;Cardholder Name;Indicates cardholder name according to ISO 7813;Card;ans 2-26;'70' or '77';2;26;primitive;
5F20;Cardholder Name;Indicates cardholder name according to ISO 7813;Card;ans 2-26;'70' or '77';2;26;primitive;
5F24;Application Expiration Date;Date after which application expires. The date is expressed in the YYMMDD format. For MasterCard applications, if the value of YY ranges from '00' to '49' the date reads 20YYMMDD. If the value of YY ranges from '50' to '99' the date reads 19YYMMDD.;Card;n 6 (YYMMDD);'70' or '77';3;3;primitive;
5F24;Application Expiration Date;Date after which the card application expires. For transactions where Offline Data Authentication is performed, the Application Expiration Date is returned. For transactions where Offline Data Authentication is not performed, the Application Expiration Date does not need to be returned.;Card;n 6 (YYMMDD);'70' or '77';3;3;primitive;
5F24;Application Expiration Date;Date after which the card application expires.;Card;n 6 (YYMMDD);'70' or '77';3;3;primitive;
5F24;Application Expiration Date;Date after which application expires. It shall be present for EMV Mode and Legacy Mode.;Card;n 6 (YYMMDD);'70' or '77';3;3;primitive;
